video_id,frame_count,first_crash_frame_index,crash_frame_count,timing,weather,egoinvolve,source_startframe,youtube_id,total_bytes
000001,50,32,18,Day,Normal,Yes,000285,0000,4708519
000002,50,30,20,Day,Normal,Yes,000646,0000,3512423
000003,50,31,19,Day,Normal,Yes,000972,0000,4822788
000004,50,41,9,Day,Normal,Yes,001257,0000,4729835
000005,50,30,20,Day,Snowy,Yes,000462,0010,4149880
000006,50,45,5,Day,Snowy,Yes,000558,0010,3645906
000007,50,31,19,Day,Snowy,No,000290,0012,5205606
000008,50,38,12,Day,Normal,Yes,000394,0012,4661574
000009,50,35,15,Day,Normal,Yes,000897,0012,3419616
000010,50,31,19,Night,Rainy,Yes,001083,0012,3459947
000011,50,43,7,Day,Normal,Yes,001166,0012,4995473
000012,50,30,20,Day,Rainy,Yes,001325,0012,5626473
000013,50,45,5,Day,Normal,Yes,000498,0017,4248823
000014,50,44,6,Day,Normal,Yes,000975,0017,4510167
000015,50,49,1,Day,Normal,Yes,001428,0017,5049794
000016,50,42,8,Day,Rainy,Yes,002090,0017,3629012
000017,50,47,3,Day,Snowy,Yes,000077,0020,5056090
000018,50,40,10,Day,Normal,Yes,000215,0020,7318977
000019,50,42,8,Day,Snowy,Yes,000319,0020,5871310
000020,50,39,11,Day,Snowy,Yes,000864,0020,5042540
000021,50,31,19,Day,Snowy,No,001078,0020,6590167
000022,50,44,6,Day,Normal,Yes,001221,0020,5055509
000023,50,38,12,Day,Normal,Yes,001936,0020,6298002
000024,50,32,18,Day,Snowy,Yes,003009,0020,3763200
000025,50,33,17,Day,Snowy,Yes,000108,0021,3673314
000026,50,36,14,Day,Normal,Yes,000202,0021,6360938
000027,50,35,15,Night,Normal,Yes,000398,0021,4088797
000028,50,37,13,Day,Snowy,Yes,000802,0021,5179992
000029,50,35,15,Day,Snowy,Yes,000009,0022,4790052
000030,50,34,16,Day,Normal,Yes,000007,0023,6087000
000031,50,32,18,Day,Snowy,Yes,001307,0023,9677170
000032,50,36,14,Night,Normal,No,001374,0023,7237848
000033,50,33,17,Day,Normal,No,001442,0023,5039599
000034,50,41,9,Night,Snowy,Yes,001518,0023,4628599
000035,50,48,2,Night,Normal,Yes,001721,0023,2780666
000036,50,46,4,Day,Normal,Yes,001811,0023,5694569
000037,50,34,16,Day,Snowy,Yes,002588,0023,7210953
000038,50,46,4,Day,Snowy,Yes,000014,0024,10634311
000039,50,30,20,Day,Snowy,Yes,000127,0024,8390709
000040,50,31,19,Night,Normal,Yes,000367,0024,4937770
000041,50,46,4,Night,Normal,Yes,001602,0024,5114044
000042,50,35,15,Day,Snowy,Yes,002220,0024,5232891
000043,50,36,14,Day,Normal,Yes,002333,0024,5807400
000044,50,34,16,Day,Normal,Yes,003021,0024,2781026
000045,50,43,7,Day,Rainy,Yes,000656,0025,4567564
000046,50,38,12,Night,Snowy,Yes,000985,0025,5288347
000047,50,46,4,Day,Normal,Yes,001311,0025,6013932
000048,50,44,6,Day,Snowy,Yes,001548,0025,10709869
000049,50,33,17,Night,Normal,Yes,000177,0026,3479300
000050,50,38,12,Night,Rainy,Yes,000345,0026,6327844
000051,50,44,6,Night,Normal,No,000490,0026,6878585
000052,50,44,6,Night,Snowy,Yes,000831,0026,5649073
000053,50,33,17,Day,Snowy,Yes,001065,0026,5476981
000054,50,37,13,Day,Snowy,No,001273,0026,3534465
000055,50,36,14,Day,Normal,No,001776,0026,5503925
000056,50,39,11,Day,Snowy,Yes,002091,0026,4761115
000057,50,36,14,Day,Snowy,No,002182,0026,7165282
000058,50,34,16,Day,Normal,No,000201,0027,5157294
000059,50,32,18,Day,Snowy,Yes,000454,0027,5516012
000060,50,31,19,Day,Normal,Yes,000551,0027,5270249
000061,50,30,20,Day,Snowy,Yes,000659,0027,6982570
000062,50,43,7,Day,Normal,Yes,001036,0027,6623460
000063,50,35,15,Day,Snowy,No,001113,0027,3931689
000064,50,39,11,Day,Snowy,Yes,001493,0027,6938053
000065,50,39,11,Day,Snowy,Yes,001598,0027,4571034
000066,50,30,20,Day,Normal,Yes,001766,0027,7414918
000067,50,34,16,Day,Normal,No,001868,0027,6392855
000068,50,38,12,Day,Snowy,Yes,002070,0027,3938833
000069,50,43,7,Night,Normal,Yes,002154,0027,3648966
000070,50,40,10,Day,Normal,Yes,002238,0027,6261086
000071,50,40,10,Day,Snowy,No,002350,0027,3431795
000072,50,34,16,Day,Normal,No,002778,0027,6132443
000073,50,30,20,Day,Normal,No,002868,0027,8493935
000074,50,30,20,Day,Snowy,No,002920,0027,7009686
000075,50,30,20,Day,Snowy,No,002999,0027,6120563
000076,50,30,20,Day,Normal,Yes,003156,0027,2156681
000077,50,44,6,Day,Rainy,No,000002,0028,6710441
000078,50,30,20,Day,Snowy,No,000125,0028,5344444
000079,50,39,11,Day,Snowy,No,000195,0028,6252977
000080,50,30,20,Day,Normal,Yes,000313,0028,5450049
000081,50,30,20,Day,Normal,Yes,000866,0028,2677766
000082,50,36,14,Night,Normal,Yes,001021,0028,8104975
000083,50,35,15,Day,Normal,Yes,001519,0028,8404626
000084,50,42,8,Day,Snowy,Yes,001690,0028,3625908
