ID,sample_index,frame_index,time_seconds,accel_label,steer_label
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,0,0,0.0,CONSTANT,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,1,2,0.1,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,2,4,0.2,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,3,6,0.3,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,4,8,0.4,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,5,10,0.5,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,6,12,0.6,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,7,14,0.7,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,8,16,0.8,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,9,18,0.9,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,10,20,1.0,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,11,22,1.1,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,12,24,1.2,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,13,26,1.3,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,14,28,1.4,CONSTANT,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,15,30,1.5,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,16,32,1.6,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,17,34,1.7,ACCELERATING,STRAIGHT
C2K19_b0c9d2329ad1606b_2018-08-02-08-34-47_40,18,36,1.8,ACCELERATING,STRAIGHT
